Unnamed: 0,Job Id,Experience,Qualifications,Salary Range (K),Min Salary (K),Max Salary (K),Country,Work Type,Company Size,Job Posting Date,Predicted Industry,Job Title,Role,Job Portal,Job Description,Benefits,skills,Responsibilities,Company,Company Profile,Text,Cluster Name,Broader Category,Average Salary (K),Year-Quarter
197,2427096294014030.0,1 to 10 Years,MBA,48,61,109,Singapore,Temporary,84357,2022-11-30,4,Architect,Project Architect,FlexJobs,"Project Architects lead architectural projects, from concept to completion, coordinating design teams, managing budgets, and ensuring compliance with regulations.","Flexible Spending Accounts (FSAs), Relocation Assistance, Legal Assistance, Employee Recognition Programs, Financial Counseling","['Architectural project management""', 'Construction documents""', 'Building systems""', 'Design coordination""', 'Client communication]""]]]]]']","Lead architectural projects, from concept design to construction supervision. Collaborate with clients, engineers, and contractors. Develop project timelines and budgets.",AES,"{""Sector"":""Utilities"",""Industry"":""Utilities: Gas and Electric"",""City"":""Arlington"",""State"":""Virginia"",""Zip"":""22203"",""Website"":""www.aes.com"",""Ticker"":""AES"",""CEO"":""Andres R. Gluski""}","Architect Lead architectural projects, from concept design to construction supervision. Collaborate with clients, engineers, and contractors. Develop project timelines and budgets. Architectural project management Construction documents Building systems Design coordination Client communication",Engineering & Architecture,Engineering,85.0,2022Q4
3717,2824760116471388.0,5 to 11 Years,B.Tech,67,59,126,Singapore,Contract,133587,2022-01-03,4,Architect,Project Architect,FlexJobs,"Project Architects lead architectural projects, from concept to completion, coordinating design teams, managing budgets, and ensuring compliance with regulations.","Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave","['Architectural project management""', 'Construction documents""', 'Building systems""', 'Design coordination""', 'Client communication]""]]]]]']","Lead architectural projects, from concept design to construction supervision. Collaborate with clients, engineers, and contractors. Develop project timelines and budgets.",Deutsche Post DHL Group,"{""Sector"":""Logistics"",""Industry"":""Logistics & Delivery Services"",""City"":""Bonn"",""State"":""N/A"",""Zip"":""N/A"",""Website"":""www.dpdhl.com"",""Ticker"":""DPW"",""CEO"":""Frank Appel""}","Architect Lead architectural projects, from concept design to construction supervision. Collaborate with clients, engineers, and contractors. Develop project timelines and budgets. Architectural project management Construction documents Building systems Design coordination Client communication",Engineering & Architecture,Engineering,92.5,2022Q1
7518,2711497750690101.0,0 to 12 Years,BA,27,59,86,Singapore,Intern,110058,2023-06-07,4,Landscape Architect,Residential Landscape Designer,Dice,Create aesthetically pleasing and functional landscape designs for residential properties.,"Childcare Assistance, Paid Time Off (PTO), Relocation Assistance, Flexible Work Arrangements, Professional Development","['Landscape design""', 'Plant selection and care""', 'Hardscape design]""]]]]]']","Specialize in designing residential outdoor spaces, including gardens and yards. Create landscape plans, select plants, and oversee installation. Enhance curb appeal and functionality.",Agricultural Bank of China,"{""Sector"":""Banking"",""Industry"":""Banking & Financial Services"",""City"":""Beijing"",""State"":""Beijing"",""Zip"":""100033"",""Website"":""https://www.abchina.com/en/"",""Ticker"":""601288.SS"",""CEO"":""Zhang Yun""}","Landscape Architect Specialize in designing residential outdoor spaces, including gardens and yards. Create landscape plans, select plants, and oversee installation. Enhance curb appeal and functionality. Landscape design Plant selection and care Hardscape design",Engineering & Architecture,Engineering,72.5,2023Q2
8820,1735951039749399.0,2 to 14 Years,BCA,17,64,81,Singapore,Temporary,86382,2023-02-19,4,Structural Engineer,Bridge Engineer,CareerBuilder,"A Bridge Engineer specializes in designing and maintaining bridges, ensuring their structural integrity, safety, and compliance with engineering standards and regulations.","Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave","['Bridge design""', 'Civil engineering""', 'Structural analysis""', 'Auto""', 'C""', 'A""', 'D proficiency""', 'Project management]""]]]]]']",Specialize in the design and maintenance of bridges and transportation structures. Conduct structural inspections and assessments. Develop repair and maintenance plans.,Pfizer,"{""Sector"":""Healthcare"",""Industry"":""Pharmaceuticals"",""City"":""New York"",""State"":""New York"",""Zip"":""10001"",""Website"":""www.pfizer.com"",""Ticker"":""PFE"",""CEO"":""Albert Bourla""}",Structural Engineer Specialize in the design and maintenance of bridges and transportation structures. Conduct structural inspections and assessments. Develop repair and maintenance plans. Bridge design Civil engineering Structural analysis AutoCAD proficiency Project management,Engineering & Architecture,Engineering,72.5,2023Q1
8902,2485947538567954.0,5 to 10 Years,MCA,31,63,94,Singapore,Full-Time,47810,2023-05-06,4,Environmental Consultant,Environmental Impact Analyst,Stack Overflow Jobs,"Environmental Impact Analysts assess the environmental consequences of projects or activities. They conduct studies, analyze data, and provide recommendations to minimize adverse environmental effects and promote sustainable practices.","Employee Assistance Programs (EAP), Tuition Reimbursement, Profit-Sharing, Transportation Benefits, Parental Leave","['Environmental impact analysis""', 'Data collection and analysis""', 'Environmental regulations""', 'Reporting""', 'G""', 'I""', 'S""', 'Geographic""', 'Information""', 'Systems""', 'Technical writing]""]]]]]']",Assess the environmental impact of projects and developments. Conduct environmental impact assessments (EIAs) and provide mitigation recommendations. Collaborate with project teams and regulators.,Netflix,"{""Sector"":""Entertainment"",""Industry"":""Entertainment"",""City"":""Los Gatos"",""State"":""California"",""Zip"":""95032"",""Website"":""www.netflix.com"",""Ticker"":""NFLX"",""CEO"":""Ted Sarandos""}","Environmental Consultant Assess the environmental impact of projects and developments. Conduct environmental impact assessments (EIAs) and provide mitigation recommendations. Collaborate with project teams and regulators. Environmental impact analysis Data collection and analysis Environmental regulations Reporting GIS , Geographic Information Systems,  Technical writing",Engineering & Architecture,Engineering,78.5,2023Q2
9781,3085080840804681.0,4 to 14 Years,M.Tech,69,61,130,Singapore,Temporary,61509,2022-12-29,4,Technical Writer,Instructional Designer,Glassdoor,Instructional Designers develop educational materials and curricula. They design engaging and effective learning experiences for students or employees.,"Casual Dress Code, Social and Recreational Activities, Employee Referral Programs, Health and Wellness Facilities, Life and Disability Insurance","['Instructional design e""', 'Learning tools""', 'Curriculum development""', 'Multimedia design""', 'Learning theory knowledge]""]]]]]']",Design and develop instructional materials and e-learning courses. Create interactive and engaging learning experiences. Align instructional content with learning objectives.,C.H. Robinson Worldwide,"{""Sector"":""Logistics"",""Industry"":""Transportation and Logistics"",""City"":""Eden Prairie"",""State"":""Minnesota"",""Zip"":""55347"",""Website"":""www.chrobinson.com"",""Ticker"":""CHRW"",""CEO"":""Scott Anderson""}",Technical Writer Design and develop instructional materials and e-learning courses. Create interactive and engaging learning experiences. Align instructional content with learning objectives. Instructional design eLearning tools Curriculum development Multimedia design Learning theory knowledge,Engineering & Architecture,Engineering,95.5,2022Q4
20212,698830000000000.0,1 to 9 Years,B.Com,65,57,122,Singapore,Contract,71955,2023-04-24,4,Architect,Sustainable Design Specialist,FlexJobs,"Sustainable Design Specialists incorporate eco-friendly practices into architectural designs, promoting energy efficiency and environmental sustainability.","Life and Disability Insurance, Stock Options or Equity Grants, Employee Recognition Programs, Health Insurance, Social and Recreational Activities","['Sustainable design principles""', 'Energy efficiency""', 'L""', 'E""', 'E""', 'D certification""', 'Green building materials""', 'Environmental impact assessment]""]]]]]']",Focus on sustainable and eco-friendly architectural practices. Integrate green building technologies and materials into architectural designs. Advise on energy-efficient building solutions.,Oneok,"{""Sector"":""Energy"",""Industry"":""Pipelines"",""City"":""Tulsa"",""State"":""Oklahoma"",""Zip"":""74103"",""Website"":""www.oneok.com"",""Ticker"":""OKE"",""CEO"":""Pierce Norton""}",Architect Focus on sustainable and eco-friendly architectural practices. Integrate green building technologies and materials into architectural designs. Advise on energy-efficient building solutions. Sustainable design principles Energy efficiency LEED certification Green building materials Environmental impact assessment,Engineering & Architecture,Engineering,89.5,2023Q2
20563,3077836170510014.0,5 to 10 Years,BBA,41,65,106,Singapore,Temporary,44414,2021-11-10,4,Urban Planner,City Planner,Internships.com,"City Planners develop and implement urban planning strategies. They work to improve communities, manage resources, and address issues related to land use and infrastructure.","Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)","['Urban planning""', 'Zoning regulations""', 'Environmental planning""', 'G""', 'I""', 'S proficiency""', 'Community engagement]""]]]]]']","Plan and develop land use strategies for urban areas. Collaborate with government agencies and stakeholders. Address zoning, infrastructure, and transportation needs.",Grafton Group,"{""Sector"":""Building Materials"",""Industry"":""Distribution/Wholesale"",""City"":""Dublin, Ireland"",""State"":""N/A"",""Zip"":""N/A"",""Website"":""www.graftonplc.com"",""Ticker"":""GFTU.L"",""CEO"":""Gavin Slark""}","Urban Planner Plan and develop land use strategies for urban areas. Collaborate with government agencies and stakeholders. Address zoning, infrastructure, and transportation needs. Urban planning Zoning regulations Environmental planning GIS proficiency Community engagement",Engineering & Architecture,Engineering,85.5,2021Q4
20767,1846832261560796.8,2 to 14 Years,BA,37,56,93,Singapore,Contract,94240,2023-08-23,4,QA Engineer,QA Manager,SimplyHired,"A QA Manager is responsible for leading and managing the quality assurance team. They ensure product quality, develop and implement QA processes, and maintain quality standards.","Employee Referral Programs, Financial Counseling, Health and Wellness Facilities, Casual Dress Code, Flexible Spending Accounts (FSAs)","['Quality assurance""', 'Process improvement""', 'Team leadership""', 'Problem""', 'Quality control]""]]]]]']","Lead and manage the QA team, including test planning, resource allocation, and test strategy development. Define quality standards and metrics. Oversee QA processes and continuous improvement efforts.",Bank of China,"{""Sector"":""Banking"",""Industry"":""Banking & Financial Services"",""City"":""Beijing"",""State"":""Beijing"",""Zip"":""100033"",""Website"":""https://www.boc.cn/en/"",""Ticker"":""601988.SS"",""CEO"":""Chen Yuan""}","QA Engineer Lead and manage the QA team, including test planning, resource allocation, and test strategy development. Define quality standards and metrics. Oversee QA processes and continuous improvement efforts. Quality assurance Process improvement Team leadership Problem, solving Quality control",Engineering & Architecture,Engineering,74.5,2023Q3
25186,347879000000000.0,5 to 9 Years,B.Com,37,62,99,Singapore,Contract,75178,2022-05-11,4,Mechanical Designer,CAD Technician,The Muse,Create and modify technical drawings using computer-aided design (CAD) software for various engineering projects.,"Transportation Benefits, Professional Development, Bonuses and Incentive Programs, Profit-Sharing, Employee Discounts","['Computer""', 'C""', 'A""', 'D""', 'Technical drawing""', 'Blueprint interpretation""', 'Drafting standards""', 'Engineering principles""', 'Collaboration with engineers""', 'Problem""', 'Attention to detail""', 'Communication skills 3""', 'D modeling]""]]]]]']",Use computer-aided design (CAD) software to create and revise technical drawings. Ensure drawings comply with industry standards. Support design projects with technical expertise.,Goodyear Tire & Rubber,"{""Sector"":""Automotive"",""Industry"":""Motor Vehicles & Parts"",""City"":""Akron"",""State"":""Ohio"",""Zip"":""44316"",""Website"":""www.goodyear.com"",""Ticker"":""GT"",""CEO"":""Richard J. Kramer""}","Mechanical Designer Use computer-aided design (CAD) software to create and revise technical drawings. Ensure drawings comply with industry standards. Support design projects with technical expertise. Computer, aided design , CAD,  software Technical drawing Blueprint interpretation Drafting standards Engineering principles Collaboration with engineers Problem, solving Attention to detail Communication skills 3D modeling , if applicable",Engineering & Architecture,Engineering,80.5,2022Q2
